loss,mae,val_loss,val_mae,learning_rate
0.15564294159412384,0.27654823660850525,0.048399101942777634,0.1763283908367157,0.0010000000474974513
0.029249170795083046,0.13133002817630768,0.05008453503251076,0.17763929069042206,0.0010000000474974513
0.02248530462384224,0.11311572790145874,0.025533834472298622,0.12232226133346558,0.0010000000474974513
0.017825398594141006,0.10012832283973694,0.03150428459048271,0.1354421228170395,0.0010000000474974513
0.014727490022778511,0.0931931734085083,0.033453620970249176,0.14242494106292725,0.0010000000474974513
0.014565522782504559,0.09228590875864029,0.02436135709285736,0.12205823510885239,0.0010000000474974513
0.012076223269104958,0.08499398827552795,0.02455059625208378,0.12219677120447159,0.0010000000474974513
0.01216818392276764,0.08364085853099823,0.02772977575659752,0.13008537888526917,0.0010000000474974513
0.011059633456170559,0.07954196631908417,0.032651349902153015,0.14128485321998596,0.0010000000474974513
0.010036487132310867,0.0766322910785675,0.023691976442933083,0.12128409743309021,0.0005000000237487257
0.009440729394555092,0.073567695915699,0.03644999489188194,0.14911329746246338,0.0005000000237487257
0.009405276738107204,0.0734967589378357,0.023647824302315712,0.12061161547899246,0.0005000000237487257
0.009064964018762112,0.07203669846057892,0.026554973796010017,0.1292824000120163,0.0005000000237487257
0.008337486535310745,0.0697566419839859,0.02519185282289982,0.1242106556892395,0.0002500000118743628
0.0082778912037611,0.06941653788089752,0.024572692811489105,0.12155304104089737,0.0002500000118743628
0.008122697472572327,0.0688399225473404,0.0263252854347229,0.12609116733074188,0.0002500000118743628
0.00774749368429184,0.06742871552705765,0.023736005648970604,0.12021027505397797,0.0001250000059371814
