loss,mae,val_loss,val_mae,learning_rate
0.1598515808582306,0.2735081911087036,0.023473037406802177,0.13561192154884338,0.0010000000474974513
0.03017730452120304,0.13389311730861664,0.03391777724027634,0.1676132082939148,0.0010000000474974513
0.021856209263205528,0.1138211339712143,0.015511018224060535,0.10041135549545288,0.0010000000474974513
0.015750329941511154,0.09762004762887955,0.00867042038589716,0.07535248249769211,0.0010000000474974513
0.014757176861166954,0.09391549229621887,0.009480628184974194,0.07560687512159348,0.0010000000474974513
0.013289359398186207,0.08917862176895142,0.006684222724288702,0.06628333777189255,0.0010000000474974513
0.012069573625922203,0.08510520309209824,0.0057631805539131165,0.06245103105902672,0.0010000000474974513
0.010770285502076149,0.0808328166604042,0.007144652307033539,0.06921173632144928,0.0010000000474974513
0.009953315369784832,0.07798615097999573,0.004547883756458759,0.05775804445147514,0.0010000000474974513
0.009239078499376774,0.07394581288099289,0.0040282211266458035,0.053491391241550446,0.0010000000474974513
0.008475106209516525,0.07116290181875229,0.006692920811474323,0.06504231691360474,0.0010000000474974513
0.0084414416924119,0.0708044171333313,0.009089718572795391,0.07058526575565338,0.0010000000474974513
0.0075163994915783405,0.06757726520299911,0.006559784058481455,0.06460921466350555,0.0010000000474974513
0.007381292525678873,0.06648893654346466,0.006214539520442486,0.06368452310562134,0.0005000000237487257
0.007002854719758034,0.06464767456054688,0.006535157095640898,0.06677959114313126,0.0005000000237487257
