loss,mae,val_loss,val_mae,learning_rate
0.15299688279628754,0.26613157987594604,0.012461272068321705,0.09205120801925659,0.0010000000474974513
0.027338899672031403,0.12749573588371277,0.0063574654050171375,0.06406985968351364,0.0010000000474974513
0.019658217206597328,0.10750195384025574,0.008987168781459332,0.08014573901891708,0.0010000000474974513
0.017059165984392166,0.10014913976192474,0.006722000893205404,0.0691458135843277,0.0010000000474974513
0.014882122166454792,0.09387113898992538,0.00884704478085041,0.0804770439863205,0.0010000000474974513
0.012443430721759796,0.08578021824359894,0.007397586014121771,0.07304631173610687,0.0005000000237487257
0.012058769352734089,0.08364786952733994,0.005686946678906679,0.06363798677921295,0.0005000000237487257
0.010982722975313663,0.08044390380382538,0.005646673962473869,0.06352542340755463,0.0005000000237487257
0.011711365543305874,0.08255551010370255,0.008303169161081314,0.07713841646909714,0.0005000000237487257
0.011416803114116192,0.08104435354471207,0.008393277414143085,0.07762717455625534,0.0005000000237487257
0.010383440181612968,0.0781225711107254,0.012154713273048401,0.09429437667131424,0.0002500000118743628
0.010016247630119324,0.07664166390895844,0.007009555120021105,0.07029576599597931,0.0002500000118743628
0.009649715386331081,0.07504673302173615,0.011235147714614868,0.09010462462902069,0.0002500000118743628
