loss,mae,val_loss,val_mae,learning_rate
0.07344138622283936,0.19533199071884155,0.6399374604225159,0.7695145606994629,0.0010000000474974513
0.019923735409975052,0.10910344868898392,0.5222815275192261,0.6968623399734497,0.0010000000474974513
0.015175274573266506,0.09459635615348816,0.4289892613887787,0.6289195418357849,0.0010000000474974513
0.012618009001016617,0.08556419610977173,0.4911385774612427,0.6709326505661011,0.0010000000474974513
0.010787123814225197,0.07968220859766006,0.4757397472858429,0.6646066308021545,0.0010000000474974513
0.009519766084849834,0.0746515542268753,0.4237993359565735,0.6244416236877441,0.0010000000474974513
0.00871275458484888,0.07119400054216385,0.4350689947605133,0.6346133351325989,0.0010000000474974513
0.007693454157561064,0.06676770001649857,0.40281951427459717,0.6092593669891357,0.0010000000474974513
0.007658136542886496,0.06696242839097977,0.37088385224342346,0.5819318890571594,0.0010000000474974513
0.007461689878255129,0.0659702941775322,0.3832680284976959,0.5907634496688843,0.0010000000474974513
0.006786291487514973,0.06225120648741722,0.3268115520477295,0.5407950282096863,0.0010000000474974513
0.0064240265637636185,0.060543324798345566,0.32277151942253113,0.5306311845779419,0.0010000000474974513
0.006257094908505678,0.059867918491363525,0.38496625423431396,0.5963419675827026,0.0010000000474974513
0.005904712714254856,0.05806845799088478,0.3926788568496704,0.600683331489563,0.0010000000474974513
0.005766051821410656,0.057378217577934265,0.32655540108680725,0.543865978717804,0.0010000000474974513
0.00535633834078908,0.05490325018763542,0.3032269775867462,0.5225403904914856,0.0005000000237487257
0.0050223032012581825,0.0533638596534729,0.3377591073513031,0.5527872443199158,0.0005000000237487257
0.00503587769344449,0.053252365440130234,0.3325415849685669,0.5481691360473633,0.0005000000237487257
0.004699360113590956,0.05132139474153519,0.32012102007865906,0.5377748608589172,0.0005000000237487257
0.004290139768272638,0.04919619858264923,0.31770244240760803,0.5328888893127441,0.0002500000118743628
0.004415166098624468,0.04951530694961548,0.3279917240142822,0.5444903373718262,0.0002500000118743628
