loss,mae,val_loss,val_mae,learning_rate
0.15603099763393402,0.27807775139808655,0.12486685067415237,0.2932779788970947,0.0010000000474974513
0.028608720749616623,0.12940609455108643,0.12553730607032776,0.3022313416004181,0.0010000000474974513
0.021647587418556213,0.11273989081382751,0.12166866660118103,0.28973227739334106,0.0010000000474974513
0.018655868247151375,0.10298465192317963,0.12115967273712158,0.2957327961921692,0.0010000000474974513
0.016420157626271248,0.0971258282661438,0.1111367791891098,0.28744035959243774,0.0010000000474974513
0.014380848035216331,0.09017308056354523,0.11100387573242188,0.2845791280269623,0.0010000000474974513
0.01263788715004921,0.0842837542295456,0.11210550367832184,0.29055333137512207,0.0010000000474974513
0.011924060061573982,0.08168292790651321,0.11443853378295898,0.29388728737831116,0.0010000000474974513
0.011736241169273853,0.08082239329814911,0.11209806054830551,0.2877296209335327,0.0010000000474974513
0.011075930669903755,0.07908204942941666,0.11034497618675232,0.287347674369812,0.0005000000237487257
0.009091580286622047,0.07098063826560974,0.10952792316675186,0.28601136803627014,0.0005000000237487257
0.009270844981074333,0.0712282657623291,0.10963758081197739,0.28601354360580444,0.0005000000237487257
0.009018365293741226,0.06962709128856659,0.11829119920730591,0.2993803918361664,0.0005000000237487257
0.008735794574022293,0.07003414630889893,0.12407737970352173,0.30281901359558105,0.0005000000237487257
0.008624524809420109,0.06903743743896484,0.1156662181019783,0.29705435037612915,0.0002500000118743628
0.0077672251500189304,0.06545700877904892,0.1156950443983078,0.2962980568408966,0.0002500000118743628
